"filename", "language", "Dart", "comment", "blank", "total"
"/home/brandon/Desktop/Dev/bluebubble_android_app/lib/layouts/conversation_details/attachment_details_card.dart", "Dart", 198, 10, 11, 219
"/home/brandon/Desktop/Dev/bluebubble_android_app/lib/layouts/conversation_details/contact_tile.dart", "Dart", 158, 0, 11, 169
"/home/brandon/Desktop/Dev/bluebubble_android_app/lib/layouts/conversation_details/conversation_details.dart", "Dart", 316, 3, 16, 335
"/home/brandon/Desktop/Dev/bluebubble_android_app/lib/layouts/conversation_list/conversation_list.dart", "Dart", 286, 4, 15, 305
"/home/brandon/Desktop/Dev/bluebubble_android_app/lib/layouts/conversation_list/conversation_tile.dart", "Dart", 237, 1, 14, 252
"/home/brandon/Desktop/Dev/bluebubble_android_app/lib/layouts/conversation_view/camera_widget.dart", "Dart", 95, 0, 11, 106
"/home/brandon/Desktop/Dev/bluebubble_android_app/lib/layouts/conversation_view/conversation_view.dart", "Dart", 159, 10, 16, 185
"/home/brandon/Desktop/Dev/bluebubble_android_app/lib/layouts/conversation_view/messages_view.dart", "Dart", 232, 3, 13, 248
"/home/brandon/Desktop/Dev/bluebubble_android_app/lib/layouts/conversation_view/new_chat_creator.dart", "Dart", 537, 13, 19, 569
"/home/brandon/Desktop/Dev/bluebubble_android_app/lib/layouts/conversation_view/text_field.dart", "Dart", 491, 7, 14, 512
"/home/brandon/Desktop/Dev/bluebubble_android_app/lib/layouts/image_viewer/image_viewer.dart", "Dart", 120, 1, 8, 129
"/home/brandon/Desktop/Dev/bluebubble_android_app/lib/layouts/image_viewer/video_viewer.dart", "Dart", 183, 1, 12, 196
"/home/brandon/Desktop/Dev/bluebubble_android_app/lib/layouts/settings/settings_panel.dart", "Dart", 442, 15, 31, 488
"/home/brandon/Desktop/Dev/bluebubble_android_app/lib/layouts/setup/qr_code_scanner.dart", "Dart", 35, 0, 7, 42
"/home/brandon/Desktop/Dev/bluebubble_android_app/lib/layouts/setup/setup_view.dart", "Dart", 400, 3, 15, 418
"/home/brandon/Desktop/Dev/bluebubble_android_app/lib/layouts/setup/welcome_page.dart", "Dart", 121, 1, 15, 137
